id,p_s,path,subject_id,text
19,"(['Person', 'Patient', 'deathCause'], '<https://w3id.org/brainteaser/ontology/schema/deathCause>')","['Person', 'Patient', 'deathCause']",<https://w3id.org/brainteaser/ontology/schema/deathCause>,Person Patient deathCause
20,"(['Person', 'Patient', 'deathDate'], '<https://w3id.org/brainteaser/ontology/schema/deathDate>')","['Person', 'Patient', 'deathDate']",<https://w3id.org/brainteaser/ontology/schema/deathDate>,Person Patient deathDate
21,"(['Person', 'Patient', 'dextricity'], '<https://w3id.org/brainteaser/ontology/schema/dextricity>')","['Person', 'Patient', 'dextricity']",<https://w3id.org/brainteaser/ontology/schema/dextricity>,Person Patient dextricity
22,"(['Person', 'Patient', 'educationLevel'], '<https://w3id.org/brainteaser/ontology/schema/educationLevel>')","['Person', 'Patient', 'educationLevel']",<https://w3id.org/brainteaser/ontology/schema/educationLevel>,Person Patient educationLevel
23,"(['Person', 'Patient', 'genomeSequencing'], '<https://w3id.org/brainteaser/ontology/schema/genomeSequencing>')","['Person', 'Patient', 'genomeSequencing']",<https://w3id.org/brainteaser/ontology/schema/genomeSequencing>,Person Patient genomeSequencing
24,"(['Person', 'Patient', 'maritalStatus'], '<https://w3id.org/brainteaser/ontology/schema/maritalStatus>')","['Person', 'Patient', 'maritalStatus']",<https://w3id.org/brainteaser/ontology/schema/maritalStatus>,Person Patient maritalStatus
25,"(['Person', 'Patient', 'menopauseStatus'], '<https://w3id.org/brainteaser/ontology/schema/menopauseStatus>')","['Person', 'Patient', 'menopauseStatus']",<https://w3id.org/brainteaser/ontology/schema/menopauseStatus>,Person Patient menopauseStatus
26,"(['Person', 'Patient', 'notes'], '<https://w3id.org/brainteaser/ontology/schema/notes>')","['Person', 'Patient', 'notes']",<https://w3id.org/brainteaser/ontology/schema/notes>,Person Patient notes
27,"(['Person', 'Patient', 'retiredAtDiagnosis'], '<https://w3id.org/brainteaser/ontology/schema/retiredAtDiagnosis>')","['Person', 'Patient', 'retiredAtDiagnosis']",<https://w3id.org/brainteaser/ontology/schema/retiredAtDiagnosis>,Person Patient retiredAtDiagnosis
28,"(['Person', 'Nicola Ferro'], '<https://orcid.org/0000-0001-9219-6239>')","['Person', 'Nicola Ferro']",<https://orcid.org/0000-0001-9219-6239>,Person Nicola Ferro
29,"(['Person', 'Giorgio Maria Di Nunzio'], '<https://orcid.org/0000-0001-9709-6392>')","['Person', 'Giorgio Maria Di Nunzio']",<https://orcid.org/0000-0001-9709-6392>,Person Giorgio Maria Di Nunzio
30,"(['Person', 'Laura Menotti'], '<https://orcid.org/0000-0002-0676-682X>')","['Person', 'Laura Menotti']",<https://orcid.org/0000-0002-0676-682X>,Person Laura Menotti
31,"(['Person', 'Guglielmo Faggioli'], '<https://orcid.org/0000-0002-5070-2049>')","['Person', 'Guglielmo Faggioli']",<https://orcid.org/0000-0002-5070-2049>,Person Guglielmo Faggioli
32,"(['Person', 'Stefano Marchesin'], '<https://orcid.org/0000-0003-0362-5893>')","['Person', 'Stefano Marchesin']",<https://orcid.org/0000-0003-0362-5893>,Person Stefano Marchesin
33,"(['Person', 'Gianmaria Silvello'], '<https://orcid.org/0000-0003-4970-4554>')","['Person', 'Gianmaria Silvello']",<https://orcid.org/0000-0003-4970-4554>,Person Gianmaria Silvello
34,"(['Activity', 'activityEndYear'], '<https://w3id.org/brainteaser/ontology/schema/activityEndYear>')","['Activity', 'activityEndYear']",<https://w3id.org/brainteaser/ontology/schema/activityEndYear>,Activity activityEndYear
35,"(['Activity', 'acitivityStartYear'], '<https://w3id.org/brainteaser/ontology/schema/activityStartYear>')","['Activity', 'acitivityStartYear']",<https://w3id.org/brainteaser/ontology/schema/activityStartYear>,Activity acitivityStartYear
36,"(['Activity', 'Lifestyle', 'alcoholUse'], '<https://w3id.org/brainteaser/ontology/schema/alcoholUse>')","['Activity', 'Lifestyle', 'alcoholUse']",<https://w3id.org/brainteaser/ontology/schema/alcoholUse>,Activity Lifestyle alcoholUse
37,"(['Activity', 'Lifestyle', 'diet'], '<https://w3id.org/brainteaser/ontology/schema/diet>')","['Activity', 'Lifestyle', 'diet']",<https://w3id.org/brainteaser/ontology/schema/diet>,Activity Lifestyle diet
38,"(['Activity', 'Lifestyle', 'sexuality'], '<https://w3id.org/brainteaser/ontology/schema/sexuality>')","['Activity', 'Lifestyle', 'sexuality']",<https://w3id.org/brainteaser/ontology/schema/sexuality>,Activity Lifestyle sexuality
39,"(['Activity', 'Lifestyle', 'sunExposure'], '<https://w3id.org/brainteaser/ontology/schema/sunExposure>')","['Activity', 'Lifestyle', 'sunExposure']",<https://w3id.org/brainteaser/ontology/schema/sunExposure>,Activity Lifestyle sunExposure
40,"(['Activity', 'Physical Activity', 'activityType'], '<https://w3id.org/brainteaser/ontology/schema/activityType>')","['Activity', 'Physical Activity', 'activityType']",<https://w3id.org/brainteaser/ontology/schema/activityType>,Activity Physical Activity activityType
41,"(['Activity', 'Physical Activity', 'intensity'], '<https://w3id.org/brainteaser/ontology/schema/intensity>')","['Activity', 'Physical Activity', 'intensity']",<https://w3id.org/brainteaser/ontology/schema/intensity>,Activity Physical Activity intensity
42,"(['Activity', 'Physical Activity', 'weeklyFrequency'], '<https://w3id.org/brainteaser/ontology/schema/weeklyFrequency>')","['Activity', 'Physical Activity', 'weeklyFrequency']",<https://w3id.org/brainteaser/ontology/schema/weeklyFrequency>,Activity Physical Activity weeklyFrequency
43,"(['Activity', 'Smoking', 'before20Years'], '<https://w3id.org/brainteaser/ontology/schema/before20Years>')","['Activity', 'Smoking', 'before20Years']",<https://w3id.org/brainteaser/ontology/schema/before20Years>,Activity Smoking before20Years
44,"(['Activity', 'Smoking', 'dailyCigarettes'], '<https://w3id.org/brainteaser/ontology/schema/dailyCigarettes>')","['Activity', 'Smoking', 'dailyCigarettes']",<https://w3id.org/brainteaser/ontology/schema/dailyCigarettes>,Activity Smoking dailyCigarettes
45,"(['Activity', 'Smoking', 'packYear'], '<https://w3id.org/brainteaser/ontology/schema/packYear>')","['Activity', 'Smoking', 'packYear']",<https://w3id.org/brainteaser/ontology/schema/packYear>,Activity Smoking packYear
46,"(['Administration', 'administrationFrequency'], '<https://w3id.org/brainteaser/ontology/schema/administrationFrequency>')","['Administration', 'administrationFrequency']",<https://w3id.org/brainteaser/ontology/schema/administrationFrequency>,Administration administrationFrequency
47,"(['Administration', 'administrationRoute'], '<https://w3id.org/brainteaser/ontology/schema/administrationRoute>')","['Administration', 'administrationRoute']",<https://w3id.org/brainteaser/ontology/schema/administrationRoute>,Administration administrationRoute
48,"(['Administration', 'administrationUoM'], '<https://w3id.org/brainteaser/ontology/schema/administrationUoM>')","['Administration', 'administrationUoM']",<https://w3id.org/brainteaser/ontology/schema/administrationUoM>,Administration administrationUoM
49,"(['Administration', 'administrationDose'], '<https://w3id.org/brainteaser/ontology/schema/adminstrationDose>')","['Administration', 'administrationDose']",<https://w3id.org/brainteaser/ontology/schema/adminstrationDose>,Administration administrationDose
50,"(['Adverse Drug Reaction', 'Adverse Drug Event'], '<http://purl.obolibrary.org/obo/OAE_0000005>')","['Adverse Drug Reaction', 'Adverse Drug Event']",<http://purl.obolibrary.org/obo/OAE_0000005>,Adverse Drug Reaction Adverse Drug Event
51,"(['Adverse Drug Reaction', 'Administration of Ineffective Drug'], '<http://purl.obolibrary.org/obo/OAE_0000220>')","['Adverse Drug Reaction', 'Administration of Ineffective Drug']",<http://purl.obolibrary.org/obo/OAE_0000220>,Adverse Drug Reaction Administration of Ineffective Drug
52,"(['Adverse Drug Reaction', 'Drug Hypersensitivity AE'], '<http://purl.obolibrary.org/obo/OAE_0000890>')","['Adverse Drug Reaction', 'Drug Hypersensitivity AE']",<http://purl.obolibrary.org/obo/OAE_0000890>,Adverse Drug Reaction Drug Hypersensitivity AE
53,"(['Adverse Drug Reaction', 'Drug Intolerance AE'], '<http://purl.obolibrary.org/obo/OAE_0000891>')","['Adverse Drug Reaction', 'Drug Intolerance AE']",<http://purl.obolibrary.org/obo/OAE_0000891>,Adverse Drug Reaction Drug Intolerance AE
54,"(['Anatomic Site', 'Eye'], '<http://purl.obolibrary.org/obo/NCIT_C12401>')","['Anatomic Site', 'Eye']",<http://purl.obolibrary.org/obo/NCIT_C12401>,Anatomic Site Eye
55,"(['Anatomic Site', 'Head'], '<http://purl.obolibrary.org/obo/NCIT_C12419>')","['Anatomic Site', 'Head']",<http://purl.obolibrary.org/obo/NCIT_C12419>,Anatomic Site Head
56,"(['Anatomic Site', 'Limb'], '<http://purl.obolibrary.org/obo/NCIT_C12429>')","['Anatomic Site', 'Limb']",<http://purl.obolibrary.org/obo/NCIT_C12429>,Anatomic Site Limb
57,"(['Anatomic Site', 'Bone Marrow'], '<http://purl.obolibrary.org/obo/NCIT_C12431>')","['Anatomic Site', 'Bone Marrow']",<http://purl.obolibrary.org/obo/NCIT_C12431>,Anatomic Site Bone Marrow
58,"(['Anatomic Site', 'Brain'], '<http://purl.obolibrary.org/obo/NCIT_C12439>')","['Anatomic Site', 'Brain']",<http://purl.obolibrary.org/obo/NCIT_C12439>,Anatomic Site Brain
59,"(['Anatomic Site', 'Brain Stem'], '<http://purl.obolibrary.org/obo/NCIT_C12441>')","['Anatomic Site', 'Brain Stem']",<http://purl.obolibrary.org/obo/NCIT_C12441>,Anatomic Site Brain Stem
60,"(['Anatomic Site', 'Cerebellum'], '<http://purl.obolibrary.org/obo/NCIT_C12445>')","['Anatomic Site', 'Cerebellum']",<http://purl.obolibrary.org/obo/NCIT_C12445>,Anatomic Site Cerebellum
61,"(['Anatomic Site', 'Spinal Cord'], '<http://purl.obolibrary.org/obo/NCIT_C12464>')","['Anatomic Site', 'Spinal Cord']",<http://purl.obolibrary.org/obo/NCIT_C12464>,Anatomic Site Spinal Cord
62,"(['Anatomic Site', 'Supratentorial Brain'], '<http://purl.obolibrary.org/obo/NCIT_C12512>')","['Anatomic Site', 'Supratentorial Brain']",<http://purl.obolibrary.org/obo/NCIT_C12512>,Anatomic Site Supratentorial Brain
63,"(['Anatomic Site', 'Abdomen'], '<http://purl.obolibrary.org/obo/NCIT_C12664>')","['Anatomic Site', 'Abdomen']",<http://purl.obolibrary.org/obo/NCIT_C12664>,Anatomic Site Abdomen
64,"(['Anatomic Site', 'Upper Extremity'], '<http://purl.obolibrary.org/obo/NCIT_C12671>')","['Anatomic Site', 'Upper Extremity']",<http://purl.obolibrary.org/obo/NCIT_C12671>,Anatomic Site Upper Extremity
65,"(['Anatomic Site', 'Lower Extremity'], '<http://purl.obolibrary.org/obo/NCIT_C12742>')","['Anatomic Site', 'Lower Extremity']",<http://purl.obolibrary.org/obo/NCIT_C12742>,Anatomic Site Lower Extremity
66,"(['Anatomic Site', 'Pelvis'], '<http://purl.obolibrary.org/obo/NCIT_C12767>')","['Anatomic Site', 'Pelvis']",<http://purl.obolibrary.org/obo/NCIT_C12767>,Anatomic Site Pelvis
67,"(['Anatomic Site', 'Thorax'], '<http://purl.obolibrary.org/obo/NCIT_C12799>')","['Anatomic Site', 'Thorax']",<http://purl.obolibrary.org/obo/NCIT_C12799>,Anatomic Site Thorax
68,"(['Anatomic Site', 'Cervical Spinal Cord'], '<http://purl.obolibrary.org/obo/NCIT_C12892>')","['Anatomic Site', 'Cervical Spinal Cord']",<http://purl.obolibrary.org/obo/NCIT_C12892>,Anatomic Site Cervical Spinal Cord
69,"(['Anatomic Site', 'Thoracic Spinal Cord'], '<http://purl.obolibrary.org/obo/NCIT_C12894>')","['Anatomic Site', 'Thoracic Spinal Cord']",<http://purl.obolibrary.org/obo/NCIT_C12894>,Anatomic Site Thoracic Spinal Cord
70,"(['Anatomic Site', 'Vertebral Column'], '<http://purl.obolibrary.org/obo/NCIT_C12998>')","['Anatomic Site', 'Vertebral Column']",<http://purl.obolibrary.org/obo/NCIT_C12998>,Anatomic Site Vertebral Column
71,"(['Anatomic Site', 'Neck'], '<http://purl.obolibrary.org/obo/NCIT_C13063>')","['Anatomic Site', 'Neck']",<http://purl.obolibrary.org/obo/NCIT_C13063>,Anatomic Site Neck
72,"(['Anatomic Site', 'Sphincter'], '<http://purl.obolibrary.org/obo/NCIT_C28381>')","['Anatomic Site', 'Sphincter']",<http://purl.obolibrary.org/obo/NCIT_C28381>,Anatomic Site Sphincter
73,"(['Anatomic Site', 'Lumbosacral Region'], '<http://purl.obolibrary.org/obo/NCIT_C48824>')","['Anatomic Site', 'Lumbosacral Region']",<http://purl.obolibrary.org/obo/NCIT_C48824>,Anatomic Site Lumbosacral Region
74,"(['Anatomic Site', 'Cervical Spine'], '<http://purl.obolibrary.org/obo/NCIT_C69313>')","['Anatomic Site', 'Cervical Spine']",<http://purl.obolibrary.org/obo/NCIT_C69313>,Anatomic Site Cervical Spine
75,"(['Anatomic Site', 'Lumbar Spine'], '<http://purl.obolibrary.org/obo/NCIT_C69314>')","['Anatomic Site', 'Lumbar Spine']",<http://purl.obolibrary.org/obo/NCIT_C69314>,Anatomic Site Lumbar Spine
76,"(['Anatomic Site', 'Thoracic Spine'], '<http://purl.obolibrary.org/obo/NCIT_C69315>')","['Anatomic Site', 'Thoracic Spine']",<http://purl.obolibrary.org/obo/NCIT_C69315>,Anatomic Site Thoracic Spine
77,"(['Clinical Trial', 'conductedInClinic'], '<https://w3id.org/brainteaser/ontology/schema/conductedInClinic>')","['Clinical Trial', 'conductedInClinic']",<https://w3id.org/brainteaser/ontology/schema/conductedInClinic>,Clinical Trial conductedInClinic
78,"(['Clinical Trial', 'isAboutDisease'], '<https://w3id.org/brainteaser/ontology/schema/isAboutDisease>')","['Clinical Trial', 'isAboutDisease']",<https://w3id.org/brainteaser/ontology/schema/isAboutDisease>,Clinical Trial isAboutDisease
79,"(['Clinical Trial', 'clinicalTrialDescription'], '<https://w3id.org/brainteaser/ontology/schema/clinicalTrialDescription>')","['Clinical Trial', 'clinicalTrialDescription']",<https://w3id.org/brainteaser/ontology/schema/clinicalTrialDescription>,Clinical Trial clinicalTrialDescription
80,"(['Clinical Trial Participation', 'inClinicalTrial'], '<https://w3id.org/brainteaser/ontology/schema/inClinicalTrial>')","['Clinical Trial Participation', 'inClinicalTrial']",<https://w3id.org/brainteaser/ontology/schema/inClinicalTrial>,Clinical Trial Participation inClinicalTrial
81,"(['Clinical Trial Participation', 'endReason'], '<https://w3id.org/brainteaser/ontology/schema/endReason>')","['Clinical Trial Participation', 'endReason']",<https://w3id.org/brainteaser/ontology/schema/endReason>,Clinical Trial Participation endReason
82,"(['Clinical Trial Participation', 'participationEnd'], '<https://w3id.org/brainteaser/ontology/schema/participationEnd>')","['Clinical Trial Participation', 'participationEnd']",<https://w3id.org/brainteaser/ontology/schema/participationEnd>,Clinical Trial Participation participationEnd
83,"(['Clinical Trial Participation', 'participationStart'], '<https://w3id.org/brainteaser/ontology/schema/participationStart>')","['Clinical Trial Participation', 'participationStart']",<https://w3id.org/brainteaser/ontology/schema/participationStart>,Clinical Trial Participation participationStart
84,"(['Clinics and Hospitals', 'Institute of Molecular Medicine Joao Lobo Antunes'], '<https://imm.medicina.ulisboa.pt/>')","['Clinics and Hospitals', 'Institute of Molecular Medicine Joao Lobo Antunes']",<https://imm.medicina.ulisboa.pt/>,Clinics and Hospitals Institute of Molecular Medicine Joao Lobo Antunes
85,"(['Clinics and Hospitals', 'Hospital General Universitario Gregorio Marañón'], '<https://www.comunidad.madrid/hospital/gregoriomaranon/>')","['Clinics and Hospitals', 'Hospital General Universitario Gregorio Marañón']",<https://www.comunidad.madrid/hospital/gregoriomaranon/>,Clinics and Hospitals Hospital General Universitario Gregorio Marañón
86,"(['Clinics and Hospitals', 'Mondino Foundation'], '<https://www.mondino.it/>')","['Clinics and Hospitals', 'Mondino Foundation']",<https://www.mondino.it/>,Clinics and Hospitals Mondino Foundation
87,"(['Clinics and Hospitals', 'University of Padua'], '<https://www.unipd.it/>')","['Clinics and Hospitals', 'University of Padua']",<https://www.unipd.it/>,Clinics and Hospitals University of Padua
88,"(['Clinics and Hospitals', 'University of Turin'], '<https://www.unito.it/>')","['Clinics and Hospitals', 'University of Turin']",<https://www.unito.it/>,Clinics and Hospitals University of Turin
89,"(['Conditon', 'conditionEnd'], '<https://w3id.org/brainteaser/ontology/schema/conditionEnd>')","['Conditon', 'conditionEnd']",<https://w3id.org/brainteaser/ontology/schema/conditionEnd>,Conditon conditionEnd
90,"(['Conditon', 'conditionStart'], '<https://w3id.org/brainteaser/ontology/schema/conditionStart>')","['Conditon', 'conditionStart']",<https://w3id.org/brainteaser/ontology/schema/conditionStart>,Conditon conditionStart
91,"(['Conditon', 'Comorbidity', 'determinedBy'], '<https://w3id.org/brainteaser/ontology/schema/determinedBy>')","['Conditon', 'Comorbidity', 'determinedBy']",<https://w3id.org/brainteaser/ontology/schema/determinedBy>,Conditon Comorbidity determinedBy
92,"(['Conditon', 'Comorbidity', 'comorbiditySeverity'], '<https://w3id.org/brainteaser/ontology/schema/comorbiditySeverity>')","['Conditon', 'Comorbidity', 'comorbiditySeverity']",<https://w3id.org/brainteaser/ontology/schema/comorbiditySeverity>,Conditon Comorbidity comorbiditySeverity
93,"(['Conditon', 'Comorbidity', 'comorbidityTreatment'], '<https://w3id.org/brainteaser/ontology/schema/comorbidityTreatment>')","['Conditon', 'Comorbidity', 'comorbidityTreatment']",<https://w3id.org/brainteaser/ontology/schema/comorbidityTreatment>,Conditon Comorbidity comorbidityTreatment
94,"(['Disease, Disorder or Finding', 'Amenorrhea due to Pituitary Dysfunction'], '<http://purl.bioontology.org/ontology/SNOMEDCT/1144987003>')","['Disease, Disorder or Finding', 'Amenorrhea due to Pituitary Dysfunction']",<http://purl.bioontology.org/ontology/SNOMEDCT/1144987003>,"Disease, Disorder or Finding Amenorrhea due to Pituitary Dysfunction"
95,"(['Disease, Disorder or Finding', 'Autoimmune Pancytopenia'], '<http://purl.bioontology.org/ontology/SNOMEDCT/183005>')","['Disease, Disorder or Finding', 'Autoimmune Pancytopenia']",<http://purl.bioontology.org/ontology/SNOMEDCT/183005>,"Disease, Disorder or Finding Autoimmune Pancytopenia"
96,"(['Disease, Disorder or Finding', ""Bell's Palsy""], '<http://purl.bioontology.org/ontology/SNOMEDCT/193093009>')","['Disease, Disorder or Finding', ""Bell's Palsy""]",<http://purl.bioontology.org/ontology/SNOMEDCT/193093009>,"Disease, Disorder or Finding Bell's Palsy"
97,"(['Disease, Disorder or Finding', 'Prolapsed Lumbar Intervertebral Disc'], '<http://purl.bioontology.org/ontology/SNOMEDCT/202708005>')","['Disease, Disorder or Finding', 'Prolapsed Lumbar Intervertebral Disc']",<http://purl.bioontology.org/ontology/SNOMEDCT/202708005>,"Disease, Disorder or Finding Prolapsed Lumbar Intervertebral Disc"
98,"(['Disease, Disorder or Finding', 'Lumbar Hernia'], '<http://purl.bioontology.org/ontology/SNOMEDCT/23344004>')","['Disease, Disorder or Finding', 'Lumbar Hernia']",<http://purl.bioontology.org/ontology/SNOMEDCT/23344004>,"Disease, Disorder or Finding Lumbar Hernia"
99,"(['Disease, Disorder or Finding', 'Pulmonary Thromboembolism'], '<http://purl.bioontology.org/ontology/SNOMEDCT/233935004>')","['Disease, Disorder or Finding', 'Pulmonary Thromboembolism']",<http://purl.bioontology.org/ontology/SNOMEDCT/233935004>,"Disease, Disorder or Finding Pulmonary Thromboembolism"
100,"(['Disease, Disorder or Finding', 'Atopic Dermatitis'], '<http://purl.bioontology.org/ontology/SNOMEDCT/24079001>')","['Disease, Disorder or Finding', 'Atopic Dermatitis']",<http://purl.bioontology.org/ontology/SNOMEDCT/24079001>,"Disease, Disorder or Finding Atopic Dermatitis"
101,"(['Disease, Disorder or Finding', 'Neutropenic Disorder'], '<http://purl.bioontology.org/ontology/SNOMEDCT/303011007>')","['Disease, Disorder or Finding', 'Neutropenic Disorder']",<http://purl.bioontology.org/ontology/SNOMEDCT/303011007>,"Disease, Disorder or Finding Neutropenic Disorder"
102,"(['Disease, Disorder or Finding', 'Motor Neuron Disease'], '<http://purl.bioontology.org/ontology/SNOMEDCT/37340000>')","['Disease, Disorder or Finding', 'Motor Neuron Disease']",<http://purl.bioontology.org/ontology/SNOMEDCT/37340000>,"Disease, Disorder or Finding Motor Neuron Disease"
103,"(['Disease, Disorder or Finding', 'Allergic Asthma'], '<http://purl.bioontology.org/ontology/SNOMEDCT/389145006>')","['Disease, Disorder or Finding', 'Allergic Asthma']",<http://purl.bioontology.org/ontology/SNOMEDCT/389145006>,"Disease, Disorder or Finding Allergic Asthma"
104,"(['Disease, Disorder or Finding', 'Closed Fracture of Tibia'], '<http://purl.bioontology.org/ontology/SNOMEDCT/447139008>')","['Disease, Disorder or Finding', 'Closed Fracture of Tibia']",<http://purl.bioontology.org/ontology/SNOMEDCT/447139008>,"Disease, Disorder or Finding Closed Fracture of Tibia"
105,"(['Disease, Disorder or Finding', 'Intervertebral Disc Prolapse'], '<http://purl.bioontology.org/ontology/SNOMEDCT/73589001>')","['Disease, Disorder or Finding', 'Intervertebral Disc Prolapse']",<http://purl.bioontology.org/ontology/SNOMEDCT/73589001>,"Disease, Disorder or Finding Intervertebral Disc Prolapse"
106,"(['Disease, Disorder or Finding', 'Pneumonia Caused By SARS-CoV-2'], '<http://purl.bioontology.org/ontology/SNOMEDCT/882784691000119100>')","['Disease, Disorder or Finding', 'Pneumonia Caused By SARS-CoV-2']",<http://purl.bioontology.org/ontology/SNOMEDCT/882784691000119100>,"Disease, Disorder or Finding Pneumonia Caused By SARS-CoV-2"
107,"(['Disease, Disorder or Finding', 'Neck Trauma'], '<http://purl.bioontology.org/ontology/SNOMEDCT/90460009>')","['Disease, Disorder or Finding', 'Neck Trauma']",<http://purl.bioontology.org/ontology/SNOMEDCT/90460009>,"Disease, Disorder or Finding Neck Trauma"
108,"(['Disease, Disorder or Finding', 'Herpes Simplex Keratitis'], '<http://purl.bioontology.org/ontology/SNOMEDCT/9389005>')","['Disease, Disorder or Finding', 'Herpes Simplex Keratitis']",<http://purl.bioontology.org/ontology/SNOMEDCT/9389005>,"Disease, Disorder or Finding Herpes Simplex Keratitis"
